Station_ID,Station_Name,Location_Label,Interval_Minutes,Interval_End_Time,Wind_Velocity_Mtr_Sec,Wind_Direction_Variance_Deg,Wind_Direction_Deg,Ambient_Temperature_Deg_C,Global_Horizontal_Irradiance
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 12:55,3,27.46,34.59,11.74,21.66
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:00,2.164,30.49,29.63,12.03,22.91
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:05,2.66,28.38,28.81,12.26,20.9
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:10,2.402,41.67,33.88,12.34,21.68
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:15,2.818,29.97,40.27,12.11,19.54
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:20,2.86,37.9,56.29,11.98,23.97
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:25,2.15,32.28,61.73,11.92,28.88
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:30,2.662,26.99,24.36,12.41,29.15
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:35,2.457,26.53,32.59,12.37,29.45
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:40,2.764,23.37,28.46,12.32,31.23
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:45,2.278,33.57,36.25,12.34,28.41
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:50,2.603,29.17,28.58,12.42,29.53
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 13:55,2.22,35.19,29.69,12.38,24.94
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:00,2.08,33.98,34.95,12.63,22.84
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:05,2.043,34.55,29.74,12.83,21.59
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:10,2.569,24.75,31.55,12.66,21.63
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:15,1.954,29.38,58.32,12.27,20.86
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:20,2.424,28.18,22.73,12.52,21.2
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:25,2.013,36.25,17.33,12.53,21.59
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:30,2.938,24.1,13.1,12.6,24.04
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:35,2.573,27.92,5.856,12.64,25.33
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:40,2.625,28.37,8.09,12.63,23.12
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:45,2.733,22.78,14.76,12.49,23.82
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:50,3.035,23.96,12.35,12.46,23.41
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 14:55,2.775,26.05,19.35,12.28,22.38
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:00,2.81,24.82,15.08,12.2,21.77
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:05,2.634,23.97,24.13,12.15,22.98
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:10,2.659,30.55,5.853,12.16,22.4
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:15,2.905,31.19,17.86,12.03,20.99
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:20,2.559,27.58,22.16,11.86,21.8
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:25,2.472,26.44,26.4,11.77,21.17
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:30,2.774,23.51,24.35,11.82,21.81
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:35,2.803,25.96,30.74,11.75,21.27
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:40,1.747,46.79,54.35,11.67,21.7
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:45,2.294,23.48,41.68,11.46,21.6
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:50,2.165,34.16,28.57,11.47,20.8
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 15:55,1.983,32.07,31.82,11.52,19.59
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:00,2.279,23.26,14.69,11.49,18.89
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:05,2.161,34.03,8.37,11.54,18.9
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:10,2.126,33.3,1.02,11.59,18.35
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:15,2.068,30.19,1.589,11.62,16.8
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:20,2.13,31.69,23.74,11.21,16.34
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:25,2.31,28.68,34.01,10.87,20.95
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:30,2.171,21.79,21.66,10.75,22.67
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:35,2.99,23.65,21.05,10.43,22.98
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:40,2.72,23.68,27.02,10.15,20.59
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-5? 16:45,2.665,24.73,25.64,10,18.04
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 07:50,,25.65,46.45,5.665,2.544
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 07:55,2.99,25.1,36.32,5.075,0.102
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:05,2.328,27.38,33.33,5.532,0.024
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:10,2.91,34.18,50.28,5.622,0.057
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:15,3.115,29.23,42.93,5.722,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:25,3.046,23.44,39.31,6.054,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:30,4.452,17.53,36.45,6,0.01
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:35,3.713,26.81,40.49,5.907,0.002
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:45,4.043,27.45,27.06,5.599,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:50,3.036,27.35,41.87,5.791,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 08:55,2.354,43.07,47.85,5.98,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:00,3.203,37.27,51.34,6.178,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:05,3.38,32.74,49.33,6.329,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:10,3.224,41.6,48.57,6.365,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:15,3.165,39.59,48.02,6.481,0.001
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:20,3.029,39.87,54.87,6.556,0.001
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:25,3.213,35.27,43.71,6.646,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:30,3.014,34.93,48.07,6.689,0.001
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:35,3.205,33.62,49.34,6.825,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:40,2.839,39.78,60.49,7.006,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:45,3.098,33.47,53.47,7.017,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:50,2.286,35.69,66.95,7.281,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 09:55,2.098,34.22,54.82,7.544,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:00,2.095,38.59,55.13,7.632,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:05,2.491,34.08,54.23,7.831,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:10,1.702,43.31,64.84,8.12,0.001
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:15,2.108,44.62,61.32,7.924,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:20,1.666,37.83,50.36,8.31,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:25,2.166,31.16,52.68,8,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:30,1.925,35.19,54,8.25,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:35,1.577,32.96,28.51,8.8,0.005
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:40,1.893,30.68,60.43,8.96,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:45,1.68,47.58,75.23,9.02,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:50,2.022,46.21,60.8,9.24,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 10:55,2.059,65.93,61.23,9.45,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:00,2.121,45.15,61.24,9.23,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:05,2.725,39.29,59.61,9.21,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:10,1.69,49.48,54.51,9.29,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:15,2.172,41.07,62.07,9.48,0.001
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:20,2.615,45.38,70.08,9.36,0.03
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:25,1.737,67.5,57.95,9.52,0.024
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:30,2.614,49.25,71.6,9.64,0.018
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:35,2.371,36.84,68.96,9.37,0.172
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:40,1.491,59.03,60.41,9.74,0.145
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:45,1.561,47.34,72.66,9.93,0.171
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:50,1.802,59.58,67.25,10.18,0.118
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 11:55,1.857,36.8,41.97,10.21,0.121
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:00,1.422,69.14,65.69,10.18,0.163
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:05,1.714,50.49,51.55,10.47,0.178
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:10,1.331,44.89,48.67,10.59,0.189
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:15,1.759,34.28,32.55,10.74,0.203
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:20,1.149,71.95,54.74,10.74,0.205
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:25,1.229,50.99,79.13,11.01,0.223
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:30,1.76,50.44,67.04,10.64,0.368
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:35,0.636,27.98,28.64,11.38,0.526
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:40,0.955,51.62,43.2,12.16,1.334
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:45,1.061,66.8,77.02,11.82,0.743
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:50,1.079,42.26,8.52,11.97,0.874
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 12:55,1.084,42.78,0.11,12.24,0.745
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:00,1.503,25.11,18.37,12.78,0.835
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:05,1.658,23.33,43.47,11.96,0.757
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:10,1.871,30.11,31.26,11.54,0.65
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:15,1.768,32.79,36.69,11.49,0.563
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:20,2.194,28.59,14.85,11.48,0.565
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:25,2.391,27.55,18.21,11.42,0.559
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:30,1.868,39.04,29.15,11.29,0.51
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:35,2.204,33.95,31.5,11.16,0.483
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:40,2.19,28.38,16.18,11.42,0.562
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:45,1.838,22.43,29.85,11.48,0.556
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:50,1.808,48.08,47.56,11.37,0.467
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 13:55,1.361,23.84,25.79,11.76,0.453
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:00,1.75,32.83,52.94,11.51,0.358
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:05,2.302,28.42,27.35,11.28,0.267
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:10,2.209,30.82,35.02,11.41,0.393
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:15,1.942,36.11,43.59,11.61,0.384
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:20,1.925,30.99,41.01,11.24,0.377
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:25,2.036,31.12,30.94,11.32,0.309
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:30,2.318,31.26,36.36,11.22,0.368
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:35,2.097,33.62,37.85,10.99,0.396
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:40,2.606,27.02,24.38,11.28,0.317
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:45,2.419,32.14,36.23,11.01,0.421
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:50,1.467,31.07,26.41,11.2,0.424
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 14:55,1.954,30.63,14.58,11.62,0.418
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:00,2.614,24.45,18.24,11.4,0.491
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:05,2.156,34.93,37.75,10.95,0.514
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:10,2.475,20.82,17.35,11.1,0.596
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:15,1.78,27.15,8.3,11.35,0.55
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:20,2.423,26.33,31.45,11.17,0.595
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:25,2.005,26.91,26.14,11.06,0.615
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:30,3.02,26.07,13.1,11.1,0.676
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:35,2.893,29.7,16.76,10.9,0.688
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:40,2.389,28.61,27.89,10.81,0.663
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:45,2.704,30.3,355,10.89,0.761
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:50,2.275,28.21,8.63,11.04,0.683
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 15:55,2.182,25.25,3.25,10.99,0.707
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:00,1.834,29.06,15.47,11.09,0.905
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:05,2.132,36.38,6.774,10.85,0.984
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:10,2.138,31.91,359.5,10.89,1.06
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:15,1.979,31.32,4.022,10.86,1.086
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:20,1.687,24.81,12.84,10.75,1.056
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:25,1.634,22.73,11.63,10.57,1.085
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:30,1.617,27.29,10.76,10.44,1.336
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:35,1.705,27.43,7.016,10.32,1.406
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-6? 16:45,1.629,27.01,6.88,9.97,1.625
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 07:50,8.97,32.75,40.22,5.64,0.175
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 07:55,1.205,37.35,73.96,5.489,0.061
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:00,0.915,46.36,75.11,5.785,0.045
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:05,0.854,32.36,145.8,6.011,0.008
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:15,0.504,45.6,16.22,6.532,0.004
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:20,0.152,16.82,141,6.847,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:25,0.349,44.15,34.4,6.959,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:30,1.136,62.26,71.06,7.058,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:35,1.087,69.98,97.7,6.989,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:40,0.801,54.74,80.1,7.189,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:45,1.146,78.18,75.48,7.388,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:50,1.726,60.9,76.96,7.257,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 08:55,1.455,56.13,75.84,7.335,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:00,0.822,40.57,82.8,7.611,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:05,0.862,27.29,76.34,7.919,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:10,0.515,33.98,110.5,8.19,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:15,1.08,82,100.4,8.38,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:20,1.096,75.22,233.8,8.02,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:25,1.419,61.23,75.97,8.07,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:30,1.368,62.96,48.98,8.34,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:35,0.736,44.85,89,8.58,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:40,1.027,24.87,22.3,9.27,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:45,0.705,19.01,9.14,9.67,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:50,1.944,17.82,21.04,9.77,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 09:55,1.613,22.86,35.93,9.56,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:00,1.575,36.28,45.67,9.39,0.001
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:05,1.242,33.41,32.44,9.42,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:10,1.146,31.5,52.12,9.74,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:15,1.315,43.68,57.59,9.76,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:20,1.464,35.13,36,9.92,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:25,1.36,35.39,58.06,9.98,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:30,1.378,35.5,47.39,10.1,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:35,1.588,35.46,51.14,10.16,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:40,1.438,54.97,26.23,10.46,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:45,1.464,23.94,20.69,10.96,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:50,1.366,36.49,34.99,10.74,0
SF04,"Lincoln High School","2162 24th Ave",5,2015-01-7? 10:55,1.946,33.8,38.75,10.54,0
